,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,317.68823,317.70215,317.6834,317.65872,317.67184,317.6586,317.6659,317.65652,317.65884,317.659,317.65897,317.678,317.66864,317.67923,317.70337,317.6964,317.70847,318.90836,318.90942,318.90634,318.91385,318.9077,318.91824,318.92407,318.93942,318.9526,318.95227,318.97324,318.98398,318.98224,318.9758
1,130.97144,131.01584,131.03548,131.02174,131.02533,130.98611,129.7591,129.73225,129.73419,129.70001,129.66833,129.63614,129.63823,128.429,128.40059,128.36331,128.3561,127.118675,127.11773,128.35979,128.38565,128.41875,128.41492,128.41852,128.39104,128.38077,127.115295,127.094604,127.10578,127.103386,127.09572
2,317.6544,317.6417,317.6086,316.37424,316.36185,317.59396,316.37274,316.3295,316.3584,316.34967,316.36682,316.31702,312.4372,317.61252,317.66415,318.9773,318.9642,318.99612,318.9973,320.25394,320.25867,320.30884,319.02493,318.991,318.95496,318.97556,318.93024,318.9513,318.94128,318.975,318.9724
3,204.06676,204.1099,204.076,204.06706,204.09663,204.06668,202.82338,202.81355,202.85374,202.8513,202.81094,202.79773,209.34898,214.51013,214.51457,209.3202,205.43991,204.14029,204.06345,204.0924,202.83316,204.06049,202.84793,202.80728,202.8181,204.07568,202.83705,204.06592,202.84526,202.83023,202.85306
4,245.84602,245.85562,245.86546,245.85622,245.85098,245.87556,245.88208,245.84871,244.601,244.5731,244.57538,244.57407,245.84903,252.39255,255.00035,256.3221,256.3348,256.34622,255.01851,254.9723,253.68956,255.01,252.4032,249.81105,249.77786,248.49612,248.47726,248.47893,247.17653,248.50356,248.49045
5,205.394,205.39984,204.13155,204.1461,204.14943,204.11948,204.06126,202.84727,204.06746,202.8119,202.78194,200.18448,202.77678,211.93301,211.9085,204.14526,202.80128,202.832,202.78561,202.80002,201.48524,201.48299,201.46817,198.881,198.90103,201.50436,201.46051,200.19098,201.45575,201.45523,200.18486
6,204.14613,204.12099,204.11525,202.85078,202.7752,202.76361,201.49243,200.21169,196.28401,195.01671,193.7352,193.64201,192.35808,191.0743,191.04185,187.13094,183.2926,183.24211,181.96198,181.94667,181.90924,181.85945,180.60014,178.02002,179.29623,178.01677,179.30405,180.60759,175.37505,180.57065,181.88622
7,335.92227,335.9462,334.63934,334.616,334.62616,333.32605,333.3328,330.7507,330.723,329.43674,328.14645,328.04266,325.46033,321.55487,320.2494,318.99316,318.9902,318.92285,319.00504,320.26093,320.2844,320.29178,320.3117,320.29486,320.29187,322.87463,324.16718,326.76862,325.50607,325.46213,326.7997
8,266.79944,266.77682,265.49054,265.39056,264.09973,260.2391,256.27856,254.9486,251.10455,245.82126,240.64137,234.1634,228.89093,223.72356,222.35939,214.56825,211.9336,206.72505,202.79942,200.18715,194.98076,193.62218,192.31572,189.76653,189.71613,187.13998,185.86336,185.85442,185.8454,185.85191,185.8402
9,281.11865,278.51526,277.16196,274.55707,268.0669,265.42728,260.2522,255.01987,247.19922,245.88557,243.22003,236.77173,234.15007,232.81543,227.61844,226.32523,226.29369,224.98221,227.62184,230.19434,232.82675,234.16495,236.73466,241.94426,244.50308,245.85756,247.17088,247.2228,251.07338,251.07596,253.68828
