,Bx,By,Bconfidence,Rx,Ry,Rconfidence,Lx,Ly,Lconfidence
0,308.53488,110.1326,0.9263479,296.2969,241.13123,0.60608065,453.31018,376.25104,0.52452713
1,309.85126,201.51842,0.74030423,311.81357,239.57956,0.5735051,441.13522,384.07782,0.7188623
2,230.22952,200.17851,0.5774473,325.26135,232.85567,0.33754134,433.7433,394.5135,0.8073102
3,172.7801,295.4793,0.72429466,341.29523,223.54567,0.5552486,436.78702,407.1233,0.79981464
4,288.98322,244.50497,0.773594,351.12247,217.33899,0.8771258,437.22183,419.29825,0.97418344
5,392.07217,202.7965,0.64888597,320.0891,204.40843,0.68927336,456.78876,391.90457,0.8246472
6,433.83896,313.72263,0.75650203,326.81302,187.85733,0.8456576,461.57178,407.99292,0.82171136
7,450.7675,371.1983,0.77654344,333.5369,178.54732,0.86894953,465.48514,417.12415,0.8257665
8,322.86597,390.73868,0.45053357,337.15744,169.23732,0.7465659,471.13782,425.82056,0.81869656
9,269.3536,392.052,0.41350707,316.98578,204.40843,0.8263221,468.5289,394.94833,0.70731664
10,372.47464,388.1222,0.39918658,338.1919,204.92566,0.87947845,474.18155,409.7322,0.86199737
11,295.46396,98.41806,0.89913857,338.70914,218.89067,0.61541426,478.96457,419.73306,0.82697874
12,326.74277,98.30711,0.8540489,334.57135,227.16621,0.51312274,483.31277,427.125,0.75268716
13,275.81976,119.23146,0.86884177,313.88245,209.06345,0.8216905,474.18155,396.6876,0.66817254
14,348.95944,111.48968,0.8367299,335.08856,214.23566,0.81014377,482.44315,408.42773,0.74842834
15,,,,335.08856,225.61455,0.7748831,488.96545,417.12415,0.7537858
16,,,,329.3991,233.3729,0.58822745,492.8788,425.82056,0.65572727
17,,,,313.36523,216.82178,0.8906518,478.96457,399.73135,0.6217519
18,,,,329.91635,221.47678,0.7618209,487.66098,408.42773,0.5684363
19,,,,330.43356,230.26955,0.7810717,493.31363,415.38486,0.61474824
20,,,,325.26135,237.51067,0.7888653,498.9663,422.34198,0.65829223
